article_title,country,revision_id,article_quality,population,region
José da Rocha,Angola,1094974511,Stub,35.6,MIDDLE AFRICA
Mateus de Brito Júnior,Angola,1054271575,Stub,35.6,MIDDLE AFRICA
Kambamba Kulaxingo,Angola,1093124425,Stub,35.6,MIDDLE AFRICA
Abel Xavier Nzuzi Lubota,Angola,1080325199,Stub,35.6,MIDDLE AFRICA
David Mendes,Angola,1024544204,Stub,35.6,MIDDLE AFRICA
Fernando Faustino Muteka,Angola,1079490106,Stub,35.6,MIDDLE AFRICA
José Ndele,Angola,1101583647,Stub,35.6,MIDDLE AFRICA
Daniel Ntongi-Nzinga,Angola,848334573,Stub,35.6,MIDDLE AFRICA
Pedro Tonho Pedale,Angola,1113903559,Stub,35.6,MIDDLE AFRICA
Elias Salupeto Pena,Angola,994023688,Stub,35.6,MIDDLE AFRICA
Pinda Simão,Angola,1115384278,Stub,35.6,MIDDLE AFRICA
Johnny Eduardo Pinnock,Angola,992923654,Stub,35.6,MIDDLE AFRICA
Santana André Pitra,Angola,886771177,Stub,35.6,MIDDLE AFRICA
José Aníbal Lopes Rocha,Angola,985054758,Stub,35.6,MIDDLE AFRICA
Luís Gomes Sambo,Angola,1114131425,Start,35.6,MIDDLE AFRICA
José Filomeno dos Santos,Angola,1111269228,Start,35.6,MIDDLE AFRICA
Jonas Savimbi,Angola,1115807457,C,35.6,MIDDLE AFRICA
Manuel Bernardo de Sousa,Angola,886461023,Stub,35.6,MIDDLE AFRICA
Augusto da Silva Tomás,Angola,1112407992,Stub,35.6,MIDDLE AFRICA
Luzia Inglês Van-Dúnem,Angola,1067323463,Start,35.6,MIDDLE AFRICA
Manuel Vicente,Angola,1106406859,C,35.6,MIDDLE AFRICA
Mfulupinga Nlando Victor,Angola,994085067,Start,35.6,MIDDLE AFRICA
Randolph Beazer,Antigua and Barbuda,1094157275,Stub,0.1,CARIBBEAN
Studiation Brown,Antigua and Barbuda,825090349,Stub,0.1,CARIBBEAN
Colin O'Neil Browne,Antigua and Barbuda,1108425154,Stub,0.1,CARIBBEAN
James Carlisle,Antigua and Barbuda,1112658085,C,0.1,CARIBBEAN
Gail Christian,Antigua and Barbuda,1082380535,Start,0.1,CARIBBEAN
Osbert Richard Frederick,Antigua and Barbuda,1082381271,Start,0.1,CARIBBEAN
William Haynes-Smith,Antigua and Barbuda,1037116181,C,0.1,CARIBBEAN
Tim Hector,Antigua and Barbuda,1075044001,C,0.1,CARIBBEAN
Cheryl Mary Clare Hurst,Antigua and Barbuda,1082380270,Stub,0.1,CARIBBEAN
Wilfred Jacobs,Antigua and Barbuda,1110866224,Stub,0.1,CARIBBEAN
Harold Lovell,Antigua and Barbuda,1106157497,Start,0.1,CARIBBEAN
John Lyons (Antiguan politician),Antigua and Barbuda,1102523754,C,0.1,CARIBBEAN
Edmond Mansoor,Antigua and Barbuda,1106044619,Stub,0.1,CARIBBEAN
Joanne Massiah,Antigua and Barbuda,1095742971,Stub,0.1,CARIBBEAN
Melford Walter Nicholas,Antigua and Barbuda,1113392435,Start,0.1,CARIBBEAN
Bernard Percival,Antigua and Barbuda,1073473676,Stub,0.1,CARIBBEAN
Alincia Williams-Grant,Antigua and Barbuda,1080767913,Start,0.1,CARIBBEAN
Joaquín Samuel de Anchorena,Argentina,1096421201,Start,46.2,SOUTH AMERICA
Juan Agustín Augier,Argentina,989941326,Stub,46.2,SOUTH AMERICA
Uladislao Augier,Argentina,1083670137,Stub,46.2,SOUTH AMERICA
Joaquín Belgrano,Argentina,1033486500,Start,46.2,SOUTH AMERICA
Antonio Bermejo,Argentina,1111012579,Start,46.2,SOUTH AMERICA
Antonio Beruti,Argentina,1072761348,Start,46.2,SOUTH AMERICA
Héctor Bidonde,Argentina,1091652004,Start,46.2,SOUTH AMERICA
Silvano Bores,Argentina,1035890502,Stub,46.2,SOUTH AMERICA
Pedro Braillard Poccard,Argentina,1100848745,Stub,46.2,SOUTH AMERICA
Exequiel Bustillo,Argentina,1096179751,Stub,46.2,SOUTH AMERICA
Mario Cafiero,Argentina,1102185475,Stub,46.2,SOUTH AMERICA
Alberto Manuel Campos,Argentina,1073206939,Start,46.2,SOUTH AMERICA
Alejo Castex,Argentina,1096414709,C,46.2,SOUTH AMERICA
Dámaso Centeno,Argentina,1096183091,Stub,46.2,SOUTH AMERICA
Carlos Corach,Argentina,1068148753,Stub,46.2,SOUTH AMERICA
